"V1" "V2"
"15843" "HMDB0008443" "LMGP01011052"
"15845" "HMDB0008445" "LMGP01011919"
"15846" "HMDB0008446" "LMGP01011921"
"15848" "HMDB0008448" "LMGP01011923"
"15849" "HMDB0008449" "LMGP01011924"
"15852" "HMDB0008452" "LMGP01011925"
"15863" "HMDB0008463" "LMGP01012210"
"15865" "HMDB0008465" "LMGP01012211"
"15871" "HMDB0008471" "LMGP01012213"
"15872" "HMDB0008472" "LMGP01012214"
"15892" "HMDB0008492" "LMGP01011928"
"15893" "HMDB0008493" "LMGP01011929"
"15895" "HMDB0008495" "LMGP01011932"
"15897" "HMDB0008497" "LMGP01011937"
"15898" "HMDB0008498" "LMGP01012216"
"15899" "HMDB0008499" "LMGP01011057"
"15900" "HMDB0008500" "LMGP01011938"
"15901" "HMDB0008501" "LMGP01011939"
"15902" "HMDB0008502" "LMGP01011940"
"15903" "HMDB0008503" "LMGP01011941"
"15904" "HMDB0008504" "LMGP01011944"
"15906" "HMDB0000548" "LMGL03012617"
"15907" "HMDB0000509" "LMFA01020097"
"15917" "HMDB0001873" "LMFA01020071"
"15922" "HMDB0001987" "LMFA01050389"
"15928" "HMDB0002656" "LMFA03010005"
"15931" "HMDB0002670" "LMPK12140001"
"15932" "HMDB0002755" "LMPK12110001"
"15936" "HMDB0003193" "LMST05010012"
"15938" "HMDB0003236" "LMST01150007"
"15939" "HMDB0003312" "LMPK12050038"
"15947" "HMDB0004198" "LMPR02030028"
"15948" "HMDB0004486" "LMPR0104010001"
"15953" "HMDB0005794" "LMPK12110004"
"15959" "HMDB0007107" "LMGL02010042"
"15960" "HMDB0007140" "LMGL02010069"
"15961" "HMDB0007237" "LMGL02010225"
"15962" "HMDB0007263" "LMGL02010214"
"15964" "HMDB0007265" "LMGL02010224"
"15965" "HMDB0007266" "LMGL02010234"
"15976" "HMDB0007909" "LMGP01011393"
"15978" "HMDB0007951" "LMGP01011425"
"15980" "HMDB0008505" "LMGP01011945"
"15981" "HMDB0008506" "LMGP01011946"
"15983" "HMDB0008508" "LMGP01011947"
"15984" "HMDB0008509" "LMGP01011948"
"15986" "HMDB0008511" "LMGP01011949"
"15987" "HMDB0008512" "LMGP01011951"
"15989" "HMDB0008514" "LMGP01011953"
"15990" "HMDB0008515" "LMGP01011954"
"15992" "HMDB0008517" "LMGP01011058"
"15993" "HMDB0008518" "LMGP01011059"
"16000" "HMDB0008525" "LMGP01011085"
"16002" "HMDB0008527" "LMGP01011981"
"16003" "HMDB0008528" "LMGP01011983"
"16004" "HMDB0008529" "LMGP01011984"
"16005" "HMDB0008530" "LMGP01011088"
"16006" "HMDB0008531" "LMGP01011089"
"16007" "HMDB0008532" "LMGP01011094"
"16008" "HMDB0008533" "LMGP01011988"
"16009" "HMDB0008534" "LMGP01011989"
"16010" "HMDB0008535" "LMGP01011990"
"16011" "HMDB0008536" "LMGP01011991"
"16012" "HMDB0008537" "LMGP01011994"
"16013" "HMDB0008538" "LMGP01011097"
"16016" "HMDB0008541" "LMGP01011996"
"16017" "HMDB0008542" "LMGP01011997"
"16018" "HMDB0008543" "LMGP01012217"
"16019" "HMDB0008544" "LMGP01011998"
"16020" "HMDB0008545" "LMGP01011099"
"16021" "HMDB0008546" "LMGP01011102"
"16022" "HMDB0008547" "LMGP01012001"
"16023" "HMDB0008548" "LMGP01012002"
"16026" "HMDB0008551" "LMGP01012003"
"16028" "HMDB0008553" "LMGP01011105"
"16033" "HMDB0008558" "LMGP01012218"
"16034" "HMDB0008559" "LMGP01012219"
"16039" "HMDB0008564" "LMGP01012221"
"16041" "HMDB0008566" "LMGP01012223"
"16042" "HMDB0008567" "LMGP01012224"
"16043" "HMDB0008568" "LMGP01012225"
"16053" "HMDB0008578" "LMGP01011110"
"16065" "HMDB0008590" "LMGP01012037"
"16066" "HMDB0008592" "LMGP01012039"
"16067" "HMDB0008593" "LMGP01012041"
"16068" "HMDB0008594" "LMGP01012042"
"16069" "HMDB0008595" "LMGP01012046"
"16070" "HMDB0008596" "LMGP01012230"
"16072" "HMDB0008598" "LMGP01012048"
"16073" "HMDB0008599" "LMGP01012049"
"16074" "HMDB0008600" "LMGP01012050"
"16075" "HMDB0008601" "LMGP01012051"
"16077" "HMDB0008603" "LMGP01012055"
"16080" "HMDB0008606" "LMGP01012057"
"16081" "HMDB0008607" "LMGP01012058"
"16083" "HMDB0008609" "LMGP01012059"
"16084" "HMDB0008610" "LMGP01012061"
"16086" "HMDB0008612" "LMGP01012063"
"16087" "HMDB0008613" "LMGP01012064"
"16090" "HMDB0008616" "LMGP01012065"
"16099" "HMDB0008625" "LMGP01012070"
"16100" "HMDB0008626" "LMGP01012072"
"16101" "HMDB0008627" "LMGP01012073"
"16102" "HMDB0008628" "LMGP01012077"
"16103" "HMDB0008629" "LMGP01012231"
"16104" "HMDB0008630" "LMGP01012078"
"16105" "HMDB0008631" "LMGP01012079"
"16106" "HMDB0008632" "LMGP01012080"
"16107" "HMDB0008633" "LMGP01012081"
"16108" "HMDB0008634" "LMGP01012082"
"16110" "HMDB0008636" "LMGP01012086"
"16111" "HMDB0008637" "LMGP01012087"
"16113" "HMDB0008639" "LMGP01012088"
"16114" "HMDB0008640" "LMGP01012089"
"16116" "HMDB0008642" "LMGP01012090"
"16117" "HMDB0008643" "LMGP01012092"
"16119" "HMDB0008645" "LMGP01012094"
"16120" "HMDB0008646" "LMGP01012095"
"16123" "HMDB0008649" "LMGP01012096"
"16163" "HMDB0008690" "LMGP01012235"
"16195" "HMDB0008723" "LMGP01012100"
"16196" "HMDB0008724" "LMGP01012101"
"16198" "HMDB0008726" "LMGP01012103"
"16199" "HMDB0008727" "LMGP01012107"
"16201" "HMDB0008729" "LMGP01012108"
"16202" "HMDB0008730" "LMGP01012109"
"16203" "HMDB0008731" "LMGP01012110"
"16204" "HMDB0008732" "LMGP01012111"
"16205" "HMDB0008733" "LMGP01012112"
"16206" "HMDB0008734" "LMGP01012115"
"16207" "HMDB0008735" "LMGP01012116"
"16208" "HMDB0008736" "LMGP01012117"
"16210" "HMDB0008738" "LMGP01012118"
"16211" "HMDB0008739" "LMGP01012119"
"16213" "HMDB0008741" "LMGP01012120"
"16214" "HMDB0008742" "LMGP01012122"
"16216" "HMDB0008744" "LMGP01012124"
"16217" "HMDB0008745" "LMGP01012125"
"16220" "HMDB0008748" "LMGP01011119"
"16230" "HMDB0008758" "LMGP01011148"
"16232" "HMDB0008760" "LMGP01011150"
"16238" "HMDB0008766" "LMGP01012238"
"16240" "HMDB0008768" "LMGP01011155"
"16254" "HMDB0008782" "LMGP01011159"
"16264" "HMDB0008792" "LMGP01012239"
"16269" "HMDB0008797" "LMGP01012243"
"16270" "HMDB0008798" "LMGP01012244"
"16288" "HMDB0008816" "LMGP01011163"
"16293" "HMDB0008821" "LMGP02010352"
"16294" "HMDB0008823" "LMGP02011250"
"16295" "HMDB0008824" "LMGP02010302"
"16296" "HMDB0008825" "LMGP02011249"
"16297" "HMDB0008826" "LMGP02011248"
"16299" "HMDB0008828" "LMGP02011247"
"16300" "HMDB0008829" "LMGP02011246"
"16301" "HMDB0008830" "LMGP02010412"
"16302" "HMDB0008831" "LMGP02011245"
"16303" "HMDB0008832" "LMGP02011244"
"16304" "HMDB0008834" "LMGP02010415"
"16305" "HMDB0008835" "LMGP02010416"
"16307" "HMDB0008837" "LMGP02010417"
"16308" "HMDB0008838" "LMGP02011242"
"16310" "HMDB0008840" "LMGP02011241"
"16311" "HMDB0008841" "LMGP02011240"
"16313" "HMDB0008843" "LMGP02010420"
"16314" "HMDB0008844" "LMGP02010421"
"16317" "HMDB0008847" "LMGP02011239"
"16324" "HMDB0008854" "LMGP02010424"
"16325" "HMDB0008855" "LMGP02011238"
"16326" "HMDB0008856" "LMGP02010425"
"16327" "HMDB0008857" "LMGP02010427"
"16328" "HMDB0008858" "LMGP02010428"
"16329" "HMDB0008859" "LMGP02010432"
"16331" "HMDB0008861" "LMGP02010433"
"16332" "HMDB0008862" "LMGP02010434"
"16333" "HMDB0008863" "LMGP02010435"
"16334" "HMDB0008864" "LMGP02010436"
"16335" "HMDB0008865" "LMGP02010437"
"16336" "HMDB0008866" "LMGP02010440"
"16337" "HMDB0008867" "LMGP02010441"
"16338" "HMDB0008868" "LMGP02010442"
"16340" "HMDB0008870" "LMGP02010443"
"16341" "HMDB0008871" "LMGP02010444"
"16343" "HMDB0008873" "LMGP02010445"
"16344" "HMDB0008874" "LMGP02010447"
"16346" "HMDB0008876" "LMGP02010449"
"16347" "HMDB0008877" "LMGP02010450"
"16350" "HMDB0008880" "LMGP02010451"
"16356" "HMDB0008887" "LMGP02010453"
"16357" "HMDB0008888" "LMGP02010454"
"16358" "HMDB0008889" "LMGP02010106"
"16359" "HMDB0008890" "LMGP02011236"
"16360" "HMDB0008891" "LMGP02011235"
"16361" "HMDB0008892" "LMGP02011233"
"16363" "HMDB0008894" "LMGP02010458"
"16364" "HMDB0008895" "LMGP02011232"
"16365" "HMDB0008896" "LMGP02010459"
"16366" "HMDB0008897" "LMGP02010460"
"16367" "HMDB0008898" "LMGP02010461"
"16368" "HMDB0008899" "LMGP02010463"
"16369" "HMDB0008900" "LMGP02010464"
"16370" "HMDB0008901" "LMGP02010465"
"16372" "HMDB0008903" "LMGP02010466"
"16373" "HMDB0008904" "LMGP02010467"
"16375" "HMDB0008906" "LMGP02010468"
"16376" "HMDB0008907" "LMGP02010469"
"16378" "HMDB0008909" "LMGP02010471"
"16379" "HMDB0008910" "LMGP02010472"
"16382" "HMDB0008913" "LMGP02010473"
"16389" "HMDB0008920" "LMGP02010297"
"16390" "HMDB0008921" "LMGP02010506"
"16391" "HMDB0008922" "LMGP02011229"
"16392" "HMDB0008923" "LMGP02010037"
"16393" "HMDB0008924" "LMGP02011228"
"16394" "HMDB0008925" "LMGP02011225"
"16395" "HMDB0008926" "LMGP02010010"
"16396" "HMDB0008927" "LMGP02010009"
"16397" "HMDB0008928" "LMGP02010042"
"16398" "HMDB0008929" "LMGP02011224"
"16399" "HMDB0008930" "LMGP02010041"
"16400" "HMDB0008931" "LMGP02011223"
"16401" "HMDB0008932" "LMGP02010270"
"16402" "HMDB0008933" "LMGP02010312"
"16403" "HMDB0008934" "LMGP02010510"
"16405" "HMDB0008936" "LMGP02011222"
"16406" "HMDB0008937" "LMGP02010096"
"16408" "HMDB0008939" "LMGP02011221"
"16409" "HMDB0008940" "LMGP02010132"
"16410" "HMDB0008941" "LMGP02010136"
"16411" "HMDB0008942" "LMGP02010513"
"16412" "HMDB0008943" "LMGP02010116"
"16415" "HMDB0008946" "LMGP02010095"
"16422" "HMDB0008953" "LMGP02010516"
"16423" "HMDB0008954" "LMGP02010517"
"16424" "HMDB0008955" "LMGP02010518"
"16425" "HMDB0008956" "LMGP02010520"
"16426" "HMDB0008957" "LMGP02010108"
"16427" "HMDB0008958" "LMGP02010524"
"16429" "HMDB0008960" "LMGP02011220"
"16430" "HMDB0008962" "LMGP02010525"
"16431" "HMDB0008963" "LMGP02010526"
"16432" "HMDB0008964" "LMGP02011218"
"16433" "HMDB0008965" "LMGP02010529"
"16434" "HMDB0008966" "LMGP02010530"
"16435" "HMDB0008967" "LMGP02010531"
"16438" "HMDB0008970" "LMGP02011217"
"16440" "HMDB0008972" "LMGP02010533"
"16441" "HMDB0008973" "LMGP02010535"
"16443" "HMDB0008975" "LMGP02010537"
"16444" "HMDB0008976" "LMGP02010538"
"16447" "HMDB0008979" "LMGP02011216"
"16454" "HMDB0008986" "LMGP02011206"
"16455" "HMDB0008987" "LMGP02010622"
"16456" "HMDB0008988" "LMGP02010623"
"16457" "HMDB0008989" "LMGP02011205"
"16458" "HMDB0008990" "LMGP02011204"
"16459" "HMDB0008991" "LMGP02010097"
"16461" "HMDB0008993" "LMGP02010036"
"16462" "HMDB0008994" "LMGP02010044"
"16463" "HMDB0008995" "LMGP02010628"
"16464" "HMDB0008996" "LMGP02010629"
"16465" "HMDB0008997" "LMGP02011203"
"16466" "HMDB0008998" "LMGP02010069"
"16467" "HMDB0008999" "LMGP02010141"
"16468" "HMDB0009000" "LMGP02010124"
"16470" "HMDB0009002" "LMGP02011202"
"16471" "HMDB0009003" "LMGP02010118"
"16473" "HMDB0009005" "LMGP02011201"
"16474" "HMDB0009007" "LMGP02010151"
"16475" "HMDB0009008" "LMGP02010634"
"16476" "HMDB0009009" "LMGP02011200"
"16479" "HMDB0009012" "LMGP02010094"
"16481" "HMDB0009014" "LMGP02010293"
"16505" "HMDB0009039" "LMGP02010160"
"16518" "HMDB0009052" "LMGP02011199"
"16519" "HMDB0009053" "LMGP02010637"
"16520" "HMDB0009054" "LMGP02010638"
"16521" "HMDB0009055" "LMGP02010099"
"16522" "HMDB0009056" "LMGP02011198"
"16523" "HMDB0009057" "LMGP02010050"
"16525" "HMDB0009059" "LMGP02010052"
"16526" "HMDB0009060" "LMGP02010048"
"16527" "HMDB0009061" "LMGP02010643"
"16528" "HMDB0009062" "LMGP02011197"
"16529" "HMDB0009063" "LMGP02010644"
"16530" "HMDB0009064" "LMGP02010143"
"16531" "HMDB0009065" "LMGP02010126"
"16532" "HMDB0009066" "LMGP02010647"
"16533" "HMDB0009067" "LMGP02010115"
"16534" "HMDB0009068" "LMGP02010648"
"16535" "HMDB0009069" "LMGP02011196"
"16537" "HMDB0009071" "LMGP02011195"
"16538" "HMDB0009072" "LMGP02010161"
"16540" "HMDB0009074" "LMGP02010651"
"16541" "HMDB0009075" "LMGP02010652"
"16544" "HMDB0009078" "LMGP01011315"
"16551" "HMDB0009085" "LMGP02010655"
"16552" "HMDB0009086" "LMGP02010656"
"16553" "HMDB0009087" "LMGP02010657"
"16554" "HMDB0009088" "LMGP02011194"
"16555" "HMDB0009089" "LMGP02010659"
"16556" "HMDB0009090" "LMGP02011193"
"16558" "HMDB0009092" "LMGP02010663"
"16559" "HMDB0009093" "LMGP02010111"
"16560" "HMDB0009094" "LMGP02010664"
"16561" "HMDB0009095" "LMGP02010665"
"16562" "HMDB0009096" "LMGP02010666"
"16563" "HMDB0009097" "LMGP02010669"
"16564" "HMDB0009098" "LMGP02010670"
"16565" "HMDB0009099" "LMGP02010671"
"16567" "HMDB0009101" "LMGP02010672"
"16568" "HMDB0009102" "LMGP02011192"
"16570" "HMDB0009104" "LMGP02010673"
"16571" "HMDB0009105" "LMGP02010675"
"16573" "HMDB0009107" "LMGP02010677"
"16574" "HMDB0009108" "LMGP02010678"
"16577" "HMDB0009111" "LMGP02011191"
"16584" "HMDB0009118" "LMGP02010681"
"16585" "HMDB0009119" "LMGP02010682"
"16586" "HMDB0009120" "LMGP02010683"
"16587" "HMDB0009121" "LMGP02010685"
"16588" "HMDB0009122" "LMGP02010686"
"16589" "HMDB0009123" "LMGP02010690"
"16591" "HMDB0009125" "LMGP02010691"
"16592" "HMDB0009126" "LMGP02010692"
"16593" "HMDB0009127" "LMGP02010693"
"16594" "HMDB0009128" "LMGP02010694"
"16595" "HMDB0009129" "LMGP02010695"
"16596" "HMDB0009130" "LMGP02010698"
"16597" "HMDB0009131" "LMGP02010699"
"16598" "HMDB0009132" "LMGP02010700"
"16600" "HMDB0009134" "LMGP02010701"
"16601" "HMDB0009135" "LMGP02010702"
"16603" "HMDB0009137" "LMGP02010703"
"16604" "HMDB0009138" "LMGP02010705"
"16606" "HMDB0009140" "LMGP02010707"
"16607" "HMDB0009141" "LMGP02010708"
"16610" "HMDB0009144" "LMGP02010709"
"16617" "HMDB0009151" "LMGP02010712"
"16618" "HMDB0009152" "LMGP02010713"
"16619" "HMDB0009153" "LMGP02010714"
"16620" "HMDB0009154" "LMGP02010047"
"16621" "HMDB0009155" "LMGP02010716"
"16622" "HMDB0009156" "LMGP02010720"
"16623" "HMDB0009159" "LMGP02010721"
"16624" "HMDB0009160" "LMGP02010722"
"16625" "HMDB0009161" "LMGP02011189"
"16626" "HMDB0009162" "LMGP02010723"
"16627" "HMDB0009163" "LMGP02010726"
"16628" "HMDB0009164" "LMGP02010727"
"16629" "HMDB0009165" "LMGP02010728"
"16631" "HMDB0009167" "LMGP02010729"
"16632" "HMDB0009168" "LMGP02010730"
"16634" "HMDB0009170" "LMGP02010731"
"16635" "HMDB0009171" "LMGP02010733"
"16637" "HMDB0009173" "LMGP02010735"
"16638" "HMDB0009174" "LMGP02010736"
"16641" "HMDB0009177" "LMGP02010737"
"16648" "HMDB0009184" "LMGP02010740"
"16649" "HMDB0009185" "LMGP02010741"
"16650" "HMDB0009186" "LMGP02010742"
"16651" "HMDB0009187" "LMGP02010744"
"16652" "HMDB0009188" "LMGP02010745"
"16653" "HMDB0009189" "LMGP02010749"
"16655" "HMDB0009191" "LMGP02010750"
"16656" "HMDB0009192" "LMGP02010751"
"16657" "HMDB0009193" "LMGP02010752"
"16658" "HMDB0009194" "LMGP02010753"
"16659" "HMDB0009195" "LMGP02010754"
"16660" "HMDB0009196" "LMGP02010757"
"16661" "HMDB0009197" "LMGP02010758"
"16662" "HMDB0009198" "LMGP02010759"
"16664" "HMDB0009200" "LMGP02010760"
"16665" "HMDB0009201" "LMGP02010761"
"16667" "HMDB0009203" "LMGP02010762"
"16668" "HMDB0009204" "LMGP02010764"
"16670" "HMDB0009206" "LMGP02010766"
"16671" "HMDB0009207" "LMGP02010767"
"16674" "HMDB0009210" "LMGP02010768"
"16681" "HMDB0009217" "LMGP02011180"
"16682" "HMDB0009218" "LMGP02010824"
"16683" "HMDB0009219" "LMGP02010825"
"16684" "HMDB0009220" "LMGP02011179"
"16685" "HMDB0009221" "LMGP02010827"
"16686" "HMDB0009222" "LMGP02010131"
"16687" "HMDB0009223" "LMGP02010138"
"16688" "HMDB0009224" "LMGP02010135"
"16689" "HMDB0009225" "LMGP02010125"
"16690" "HMDB0009226" "LMGP02010831"
"16691" "HMDB0009227" "LMGP02010832"
"16692" "HMDB0009228" "LMGP02010114"
"16693" "HMDB0009229" "LMGP02011178"
"16694" "HMDB0009230" "LMGP02010152"
"16695" "HMDB0009231" "LMGP02010140"
"16697" "HMDB0009233" "LMGP02010835"
"16698" "HMDB0009234" "LMGP02011177"
"16700" "HMDB0009236" "LMGP02010836"
"16701" "HMDB0009237" "LMGP02010075"
"16702" "HMDB0009238" "LMGP02010287"
"16703" "HMDB0009239" "LMGP02010839"
"16704" "HMDB0009240" "LMGP02010840"
"16707" "HMDB0009243" "LMGP02011176"
"16709" "HMDB0009245" "LMGP02010288"
"16714" "HMDB0009250" "LMGP02010843"
"16715" "HMDB0009251" "LMGP02010844"
"16716" "HMDB0009252" "LMGP02010845"
"16717" "HMDB0009253" "LMGP02010847"
"16718" "HMDB0009254" "LMGP02010848"
"16719" "HMDB0009255" "LMGP02010852"
"16721" "HMDB0009257" "LMGP02010853"
"16722" "HMDB0009258" "LMGP02010854"
"16723" "HMDB0009259" "LMGP02010855"
"16724" "HMDB0009260" "LMGP02010856"
"16725" "HMDB0009261" "LMGP02010857"
"16726" "HMDB0009262" "LMGP02010860"
"16727" "HMDB0009263" "LMGP02011175"
"16728" "HMDB0009264" "LMGP02010861"
"16730" "HMDB0009266" "LMGP02010862"
"16731" "HMDB0009267" "LMGP02010863"
"16733" "HMDB0009269" "LMGP02010864"
"16734" "HMDB0009270" "LMGP02010866"
"16736" "HMDB0009272" "LMGP02010868"
"16737" "HMDB0009273" "LMGP02010869"
"16740" "HMDB0009276" "LMGP02010870"
"16747" "HMDB0009283" "LMGP02010873"
"16748" "HMDB0009284" "LMGP02010874"
"16749" "HMDB0009285" "LMGP02010875"
"16750" "HMDB0009286" "LMGP02010877"
"16751" "HMDB0009287" "LMGP02010878"
"16752" "HMDB0009288" "LMGP02010882"
"16754" "HMDB0009290" "LMGP02010883"
"16755" "HMDB0009291" "LMGP02010884"
"16756" "HMDB0009292" "LMGP02010885"
"16757" "HMDB0009293" "LMGP02010886"
"16758" "HMDB0009294" "LMGP02010887"
"16759" "HMDB0009295" "LMGP02010890"
"16760" "HMDB0009296" "LMGP02010891"
"16761" "HMDB0009297" "LMGP02010892"
"16763" "HMDB0009302" "LMGP02010895"
"16764" "HMDB0009303" "LMGP02010897"
"16766" "HMDB0009305" "LMGP02010899"
"16767" "HMDB0009306" "LMGP02010900"
"16770" "HMDB0009309" "LMGP02010901"
"16809" "HMDB0009349" "LMGP02010904"
"16810" "HMDB0009350" "LMGP02010905"
"16811" "HMDB0009351" "LMGP02010906"
"16812" "HMDB0009352" "LMGP02010908"
"16813" "HMDB0009353" "LMGP02010909"
"16814" "HMDB0009354" "LMGP02010913"
"16816" "HMDB0009356" "LMGP02010914"
"16817" "HMDB0009357" "LMGP02010915"
"16818" "HMDB0009358" "LMGP02010916"
"16819" "HMDB0009359" "LMGP02010917"
"16820" "HMDB0009360" "LMGP02010918"
"16821" "HMDB0009361" "LMGP02010921"
"16822" "HMDB0009362" "LMGP02010922"
"16823" "HMDB0009363" "LMGP02010923"
"16825" "HMDB0009365" "LMGP02010924"
"16826" "HMDB0009366" "LMGP02010925"
"16828" "HMDB0009368" "LMGP02010926"
"16829" "HMDB0009369" "LMGP02010928"
"16831" "HMDB0009371" "LMGP02010930"
"16832" "HMDB0009372" "LMGP02010931"
"16835" "HMDB0009375" "LMGP02010932"
"16842" "HMDB0009382" "LMGP02010935"
"16843" "HMDB0009383" "LMGP02010936"
"16844" "HMDB0009384" "LMGP02010937"
"16845" "HMDB0009385" "LMGP02011174"
"16846" "HMDB0009386" "LMGP02010939"
"16847" "HMDB0009387" "LMGP02010943"
"16849" "HMDB0009389" "LMGP02010944"
"16850" "HMDB0009391" "LMGP02010946"
"16851" "HMDB0009392" "LMGP02010947"
"16852" "HMDB0009393" "LMGP02010948"
"16853" "HMDB0009394" "LMGP02010951"
"16854" "HMDB0009395" "LMGP02010952"
"16855" "HMDB0009396" "LMGP02010953"
"16857" "HMDB0009398" "LMGP02010954"
"16858" "HMDB0009399" "LMGP02011173"
"16860" "HMDB0009401" "LMGP02010955"
"16861" "HMDB0009402" "LMGP02010957"
"16863" "HMDB0009404" "LMGP02010959"
"16864" "HMDB0009405" "LMGP02010960"
"16867" "HMDB0009408" "LMGP02010961"
"16904" "HMDB0009448" "LMGP02010964"
"16905" "HMDB0009449" "LMGP02010965"
"16906" "HMDB0009453" "LMGP02010973"
"16908" "HMDB0009455" "LMGP02011172"
"16909" "HMDB0009456" "LMGP02010974"
"16910" "HMDB0009457" "LMGP02010975"
"16911" "HMDB0009458" "LMGP02010976"
"16912" "HMDB0009459" "LMGP02010977"
"16913" "HMDB0009460" "LMGP02010980"
"16914" "HMDB0009461" "LMGP02010981"
"16915" "HMDB0009462" "LMGP02010982"
"16917" "HMDB0009464" "LMGP02010983"
"16918" "HMDB0009465" "LMGP02010984"
"16920" "HMDB0009467" "LMGP02010985"
"16921" "HMDB0009468" "LMGP02010987"
"16923" "HMDB0009470" "LMGP02010989"
"16924" "HMDB0009471" "LMGP02010990"
"16926" "HMDB0009473" "LMGP02010166"
"16927" "HMDB0009474" "LMGP02011171"
"16933" "HMDB0009481" "LMGP02011163"
"16934" "HMDB0009482" "LMGP02011016"
"16935" "HMDB0009483" "LMGP02011017"
"16936" "HMDB0009484" "LMGP02011019"
"16937" "HMDB0009485" "LMGP02011020"
"16938" "HMDB0009486" "LMGP02011162"
"16939" "HMDB0009487" "LMGP02010154"
"16940" "HMDB0009488" "LMGP02010155"
"16941" "HMDB0009489" "LMGP02011024"
"16942" "HMDB0009490" "LMGP02011025"
"16943" "HMDB0009491" "LMGP02011026"
"16944" "HMDB0009492" "LMGP02011027"
"16945" "HMDB0009493" "LMGP02011030"
"16946" "HMDB0009494" "LMGP02010290"
"16947" "HMDB0009495" "LMGP02011031"
"16949" "HMDB0009497" "LMGP02011032"
"16950" "HMDB0009498" "LMGP02011033"
"16952" "HMDB0009500" "LMGP02011034"
"16953" "HMDB0009501" "LMGP02010168"
"16954" "HMDB0009502" "LMGP02010291"
"16955" "HMDB0009503" "LMGP02011037"
"16956" "HMDB0009504" "LMGP02011038"
"16959" "HMDB0009507" "LMGP02011039"
"16961" "HMDB0009509" "LMGP02010292"
"16999" "HMDB0009547" "LMGP02011073"
"17000" "HMDB0009548" "LMGP02011074"
"17001" "HMDB0009549" "LMGP02011075"
"17002" "HMDB0009550" "LMGP02011077"
"17003" "HMDB0009551" "LMGP02011078"
"17004" "HMDB0009552" "LMGP02011082"
"17006" "HMDB0009555" "LMGP02011084"
"17007" "HMDB0009556" "LMGP02011085"
"17008" "HMDB0009557" "LMGP02011086"
"17009" "HMDB0009558" "LMGP02011087"
"17010" "HMDB0009559" "LMGP02011090"
"17011" "HMDB0009560" "LMGP02011091"
"17012" "HMDB0009561" "LMGP02011092"
"17014" "HMDB0009563" "LMGP02011093"
"17015" "HMDB0009564" "LMGP02011094"
"17017" "HMDB0009566" "LMGP02011095"
"17018" "HMDB0009567" "LMGP02011097"
"17020" "HMDB0009569" "LMGP02011099"
"17021" "HMDB0009570" "LMGP02011100"
"17024" "HMDB0009573" "LMGP02011101"
"17031" "HMDB0009580" "LMGP02011104"
"17032" "HMDB0009581" "LMGP02011105"
"17033" "HMDB0009582" "LMGP02011106"
"17034" "HMDB0009583" "LMGP02011108"
"17035" "HMDB0009584" "LMGP02011109"
"17036" "HMDB0009585" "LMGP02011113"
"17038" "HMDB0009587" "LMGP02011114"
"17039" "HMDB0009588" "LMGP02011115"
"17040" "HMDB0009589" "LMGP02011116"
"17041" "HMDB0009590" "LMGP02011117"
"17042" "HMDB0009591" "LMGP02011118"
"17043" "HMDB0009592" "LMGP02011121"
"17044" "HMDB0009593" "LMGP02011122"
"17045" "HMDB0009594" "LMGP02011123"
"17046" "HMDB0009596" "LMGP02011125"
"17048" "HMDB0009598" "LMGP02011126"
"17049" "HMDB0009599" "LMGP02011128"
"17051" "HMDB0009601" "LMGP02011130"
"17052" "HMDB0009602" "LMGP02011131"
"17055" "HMDB0009605" "LMGP01030016"
"17058" "HMDB0009608" "LMGP02011124"
"17129" "HMDB0009679" "LMGP02011134"
"17130" "HMDB0009680" "LMGP02011135"
"17131" "HMDB0009681" "LMGP02011136"
"17132" "HMDB0009682" "LMGP02011161"
"17133" "HMDB0009683" "LMGP02011138"
"17134" "HMDB0009684" "LMGP02011142"
"17136" "HMDB0009686" "LMGP02011143"
"17137" "HMDB0009687" "LMGP02011144"
"17138" "HMDB0009688" "LMGP02011145"
"17139" "HMDB0009689" "LMGP02011146"
"17140" "HMDB0009690" "LMGP02011147"
"17141" "HMDB0009691" "LMGP02011150"
"17142" "HMDB0009692" "LMGP02011151"
"17143" "HMDB0009693" "LMGP02011152"
"17145" "HMDB0009695" "LMGP02011153"
"17146" "HMDB0009696" "LMGP02011154"
"17148" "HMDB0009698" "LMGP02011155"
"17149" "HMDB0009699" "LMGP02011157"
"17151" "HMDB0009701" "LMGP02011159"
"17152" "HMDB0009702" "LMGP02011160"
"17155" "HMDB0009705" "LMGP02010093"
"17169" "HMDB0009719" "LMGP02010294"
"17174" "HMDB0009724" "LMGP02010167"
"17175" "HMDB0009725" "LMGP02010295"
"17225" "HMDB0009778" "LMGP06010007"
"17226" "HMDB0009779" "LMGP06010881"
"17228" "HMDB0009781" "LMGP06010878"
"17230" "HMDB0009783" "LMGP06010001"
"17231" "HMDB0009784" "LMGP06010959"
"17232" "HMDB0009785" "LMGP06010942"
"17233" "HMDB0009786" "LMGP06010165"
"17235" "HMDB0009788" "LMGP06010875"
"17236" "HMDB0009789" "LMGP06010958"
"17238" "HMDB0009791" "LMGP06010168"
"17241" "HMDB0009794" "LMGP06010939"
"17244" "HMDB0009797" "LMGP06010175"
"17245" "HMDB0009798" "LMGP06010938"
"17246" "HMDB0009799" "LMGP06010179"
"17248" "HMDB0009801" "LMGP06010873"
"17252" "HMDB0009805" "LMGP06010858"
