"V1" "V2"
"11699" "HMDB0000649" "LMST01040122"
"11700" "HMDB0000650" "LMFA01100043"
"11703" "HMDB0000653" "LMST05020016"
"11708" "HMDB0000659" "LMST05020027"
"11712" "HMDB0000663" "LMFA01170108"
"11713" "HMDB0000664" "LMST04010026"
"11714" "HMDB0000665" "LMFA01050381"
"11715" "HMDB0000666" "LMFA01010007"
"11721" "HMDB0000672" "LMFA01170022"
"11722" "HMDB0000673" "LMFA01030120"
"11723" "HMDB0000674" "LMGP10010027"
"11731" "HMDB0000686" "LMST04010035"
"11734" "HMDB0000689" "LMFA01020076"
"11735" "HMDB0000691" "LMFA01170041"
"11742" "HMDB0000698" "LMST05030009"
"11750" "HMDB0000708" "LMST04010445"
"11752" "HMDB0000710" "LMFA01050006"
"11753" "HMDB0000711" "LMFA01050020"
"11755" "HMDB0000713" "LMST04010006"
"11759" "HMDB0000717" "LMST04010004"
"11761" "HMDB0000720" "LMFA01060006"
"11783" "HMDB0000746" "LMFA01050408"
"11786" "HMDB0000749" "LMFA01170116"
"11789" "HMDB0000752" "LMFA01170117"
"11790" "HMDB0000753" "LMFA12000049"
"11791" "HMDB0000754" "LMFA01050396"
"11793" "HMDB0000756" "LMFA07070001"
"11797" "HMDB0000761" "LMST04010003"
"11803" "HMDB0000772" "LMFA01010019"
"11808" "HMDB0000782" "LMFA01170029"
"11810" "HMDB0000784" "LMFA01170054"
"11817" "HMDB0000791" "LMFA07070002"
"11818" "HMDB0000792" "LMFA01170006"
"11821" "HMDB0000795" "LMPR0104010022"
"11828" "HMDB0000806" "LMFA01010014"
"11833" "HMDB0000811" "LMST04010025"
"11840" "HMDB0000820" "LMFA05000101"
"11845" "HMDB0000826" "LMFA01010015"
"11846" "HMDB0000827" "LMFA01010018"
"11859" "HMDB0000847" "LMFA01010009"
"11863" "HMDB0000852" "LMST01040129"
"11868" "HMDB0000857" "LMFA01170051"
"11879" "HMDB0000871" "LMST01010174"
"11880" "HMDB0000872" "LMFA01170018"
"11887" "HMDB0000879" "LMST05030013"
"11890" "HMDB0000885" "LMST01020005"
"11892" "HMDB0000888" "LMFA01170007"
"11895" "HMDB0000892" "LMFA01010005"
"11896" "HMDB0000893" "LMFA01170001"
"11899" "HMDB0000896" "LMST05040013"
"11902" "HMDB0000899" "LMST02020085"
"11903" "HMDB0000900" "LMST03010000"
"11909" "HMDB0000908" "LMST01010077"
"11911" "HMDB0000910" "LMFA01010013"
"11915" "HMDB0000917" "LMST04010088"
"11918" "HMDB0000921" "LMST01010015"
"11926" "HMDB0000933" "LMFA01170002"
"11930" "HMDB0000937" "LMST01040123"
"11933" "HMDB0000941" "LMST01010243"
"11936" "HMDB0000944" "LMFA01010022"
"11937" "HMDB0000946" "LMST04010033"
"11938" "HMDB0000947" "LMFA01010011"
"11940" "HMDB0000950" "LMSP02010021"
"11941" "HMDB0000951" "LMST05040005"
"11948" "HMDB0000961" "LMPR0103010002"
"11949" "HMDB0000962" "LMFA08010006"
"11953" "HMDB0000969" "LMST03020123"
"11957" "HMDB0000977" "LMPR02010044"
"11960" "HMDB0000981" "LMST01010237"
"11965" "HMDB0000991" "LMFA01100056"
"11968" "HMDB0000995" "LMST02030163"
"11988" "HMDB0001023" "LMST01010149"
"11990" "HMDB0001028" "LMST01010212"
"11993" "HMDB0001032" "LMST05020010"
"12000" "HMDB0001043" "LMFA01030001"
"12017" "HMDB0001063" "LMPR02010043"
"12025" "HMDB0001072" "LMPR02010001"
"12032" "HMDB0001085" "LMFA03020001"
"12036" "HMDB0001090" "LMFA01050416"
"12039" "HMDB0001094" "LMPR01070226"
"12053" "HMDB0001120" "LMPR01010001"
"12063" "HMDB0001131" "LMFA01170110"
"12068" "HMDB0001139" "LMFA03010077"
"12069" "HMDB0001140" "LMFA06000028"
"12073" "HMDB0001149" "LMFA01100055"
"12077" "HMDB0001160" "LMFA01010023"
"12087" "HMDB0001170" "LMST01010089"
"12088" "HMDB0001172" "LMFA01060193"
"12098" "HMDB0001183" "LMFA05000130"
"12099" "HMDB0001184" "LMFA12000028"
"12108" "HMDB0001193" "LMFA03060012"
"12112" "HMDB0001198" "LMFA03020003"
"12124" "HMDB0001217" "LMST01010202"
"12127" "HMDB0001220" "LMFA03010003"
"12131" "HMDB0001231" "LMST04030014"
"12136" "HMDB0001241" "LMFA01170082"
"12139" "HMDB0001244" "LMFA03010033"
"12144" "HMDB0001251" "LMST01010017"
"12150" "HMDB0001259" "LMFA06000118"
"12159" "HMDB0001268" "LMFA01170066"
"12169" "HMDB0001280" "LMFA01060191"
"12171" "HMDB0001285" "LMPR0102010001"
"12195" "HMDB0001320" "LMFA03010146"
"12206" "HMDB0001337" "LMFA03020023"
"12212" "HMDB0001343" "LMFA01050415"
"12215" "HMDB0001347" "LMPR01010008"
"12224" "HMDB0001358" "LMPR01090002"
"12234" "HMDB0001370" "LMFA01170102"
"12244" "HMDB0001381" "LMFA03010010"
"12246" "HMDB0001383" "LMSP01050002"
"12249" "HMDB0001388" "LMFA01030152"
"12260" "HMDB0001403" "LMFA03010004"
"12271" "HMDB0001419" "LMST01010019"
"12276" "HMDB0001425" "LMST02010043"
"12293" "HMDB0001449" "LMST02030156"
"12294" "HMDB0001451" "LMFA01130001"
"12295" "HMDB0001452" "LMFA03030001"
"12298" "HMDB0001455" "LMST02030173"
"12299" "HMDB0001457" "LMST04030035"
"12304" "HMDB0001469" "LMPR03030004"
"12305" "HMDB0001470" "LMFA01020030"
"12306" "HMDB0001471" "LMST02030185"
"12312" "HMDB0001480" "LMSP01020002"
"12314" "HMDB0001483" "LMFA03010025"
"12316" "HMDB0001485" "LMFA11000002"
"12333" "HMDB0001509" "LMFA03020018"
"12346" "HMDB0001527" "LMFA01130006"
"12361" "HMDB0001547" "LMST02030186"
"12364" "HMDB0001551" "LMFA06000088"
"12366" "HMDB0001553" "LMFA01060170"
"12375" "HMDB0001568" "LMFA01030018"
"12376" "HMDB0001569" "LMST01010098"
"12380" "HMDB0001624" "LMFA01050011"
"12382" "HMDB0001645" "LMFA01100042"
"12383" "HMDB0001659" "LMFA12000057"
"12386" "HMDB0001830" "LMST02030159"
"12390" "HMDB0001844" "LMFA01170119"
"12406" "HMDB0001864" "LMFA01060007"
"12407" "HMDB0001865" "LMFA01060004"
"12412" "HMDB0001871" "LMPK12020003"
"12416" "HMDB0001877" "LMFA01020291"
"12417" "HMDB0001878" "LMPR0102090029"
"12428" "HMDB0001893" "LMPR02020000"
"12434" "HMDB0001901" "LMFA01100035"
"12436" "HMDB0001903" "LMST03020258"
"12438" "HMDB0001906" "LMFA01100053"
"12439" "HMDB0001908" "LMFA03010024"
"12450" "HMDB0001926" "LMST02010036"
"12461" "HMDB0001939" "LMST02030176"
"12468" "HMDB0001954" "LMFA01050021"
"12471" "HMDB0001958" "LMPR0104010012"
"12476" "HMDB0001965" "LMFA03090004"
"12479" "HMDB0001968" "LMST04030033"
"12483" "HMDB0001975" "LMFA01050387"
"12484" "HMDB0001976" "LMFA04000064"
"12485" "HMDB0001977" "LMFA03090002"
"12487" "HMDB0001979" "LMFA03010013"
"12497" "HMDB0001993" "LMST04030123"
"12498" "HMDB0001999" "LMFA01030759"
"12499" "HMDB0002000" "LMFA01030051"
"12500" "HMDB0002001" "LMFA01170103"
"12501" "HMDB0002003" "LMFA01010024"
"12504" "HMDB0002006" "LMFA01100051"
"12505" "HMDB0002007" "LMFA01030822"
"12513" "HMDB0002019" "LMPR0104010002"
"12516" "HMDB0002023" "LMFA01170104"
"12518" "HMDB0002025" "LMFA01170081"
"12520" "HMDB0002027" "LMST01010242"
"12534" "HMDB0002050" "LMFA01060194"
"12535" "HMDB0002052" "LMFA01170114"
"12540" "HMDB0002059" "LMFA01050039"
"12543" "HMDB0002063" "LMFA01010027"
"12547" "HMDB0002068" "LMFA01030089"
"12551" "HMDB0002074" "LMFA01170080"
"12555" "HMDB0002082" "LMST04050005"
"12559" "HMDB0002088" "LMFA08040015"
"12562" "HMDB0002092" "LMFA01170063"
"12569" "HMDB0002100" "LMFA08040013"
"12570" "HMDB0002103" "LMST01010088"
"12578" "HMDB0002115" "LMFA03110006"
"12579" "HMDB0002117" "LMFA08010004"
"12582" "HMDB0002122" "LMFA03010138"
"12584" "HMDB0002124" "LMPK12110005"
"12585" "HMDB0002126" "LMST01010213"
"12589" "HMDB0002132" "LMFA03110007"
"12602" "HMDB0002152" "LMPR01090003"
"12604" "HMDB0002157" "LMST04020029"
"12609" "HMDB0002166" "LMFA01100050"
"12618" "HMDB0002176" "LMFA01020072"
"12619" "HMDB0002177" "LMFA01030818"
"12622" "HMDB0002180" "LMST04030016"
"12623" "HMDB0002181" "LMPR01070254"
"12625" "HMDB0002183" "LMFA01030185"
"12628" "HMDB0002186" "LMFA01030766"
"12630" "HMDB0002190" "LMFA03080002"
"12637" "HMDB0002200" "LMFA03020002"
"12640" "HMDB0002203" "LMFA01050153"
"12641" "HMDB0002204" "LMPR01070263"
"12649" "HMDB0002212" "LMFA01010020"
"12652" "HMDB0002217" "LMFA01060190"
"12653" "HMDB0002219" "LMPK12050096"
"12655" "HMDB0002221" "LMFA01020285"
"12658" "HMDB0002226" "LMFA01030178"
"12661" "HMDB0002230" "LMFA01010029"
"12662" "HMDB0002231" "LMFA01030085"
"12663" "HMDB0002232" "LMFA03080003"
"12666" "HMDB0002236" "LMFA03110008"
"12676" "HMDB0002259" "LMFA01010017"
"12678" "HMDB0002262" "LMST01020001"
"12680" "HMDB0002264" "LMFA01050313"
"12681" "HMDB0002265" "LMFA03050010"
"12682" "HMDB0002266" "LMFA01170079"
"12686" "HMDB0002272" "LMPR01070299"
"12695" "HMDB0002283" "LMFA03080001"
"12704" "HMDB0002299" "LMFA01100049"
"12707" "HMDB0002304" "LMFA03020012"
"12713" "HMDB0002311" "LMFA03050006"
"12714" "HMDB0002314" "LMFA03050008"
"12718" "HMDB0002326" "LMPK12090018"
"12719" "HMDB0002327" "LMFA01170014"
"12726" "HMDB0002337" "LMPR02020064"
"12730" "HMDB0002343" "LMFA03050004"
"12731" "HMDB0002345" "LMFA01010021"
"12733" "HMDB0002348" "LMFA01010028"
"12734" "HMDB0002349" "LMFA01170124"
"12735" "HMDB0002350" "LMFA05000085"
"12736" "HMDB0002352" "LMPR0103250002"
"12740" "HMDB0002356" "LMFA01010026"
"12744" "HMDB0002361" "LMFA01010025"
"12745" "HMDB0002362" "LMFA01100052"
"12746" "HMDB0002363" "LMFA03100008"
"12747" "HMDB0002364" "LMPR0106150004"
"12750" "HMDB0002368" "LMFA01030092"
"12751" "HMDB0002369" "LMPR01090022"
"12753" "HMDB0002373" "LMFA01020288"
"12754" "HMDB0002374" "LMST01040145"
"12760" "HMDB0002384" "LMFA06000098"
"12769" "HMDB0002394" "LMST01010059"
"12770" "HMDB0002395" "LMPR0106180007"
"12771" "HMDB0002396" "LMFA01020249"
"12774" "HMDB0002400" "LMFA03100002"
"12776" "HMDB0002409" "LMST05030012"
"12777" "HMDB0002421" "LMST04010444"
"12779" "HMDB0002431" "LMST04010016"
"12781" "HMDB0002441" "LMFA01170086"
"12782" "HMDB0002451" "LMST04010051"
"12788" "HMDB0002488" "LMST04010050"
"12789" "HMDB0002492" "LMST04010011"
"12790" "HMDB0002496" "LMST05030005"
"12792" "HMDB0002498" "LMST05020030"
"12818" "HMDB0036470" "LMPR0103410002"
"12861" "HMDB0036559" "LMPR0102120013"
"12874" "HMDB0036572" "LMPR01070304"
"12877" "HMDB0036575" "LMPR0103090011"
"12882" "HMDB0036583" "LMFA02020010"
"12893" "HMDB0036595" "LMPK12050287"
"12896" "HMDB0036598" "LMFA06000146"
"12897" "HMDB0036599" "LMFA07010480"
"12913" "HMDB0036616" "LMPK12050053"
"12916" "HMDB0036620" "LMPK12110188"
"12927" "HMDB0036631" "LMPK12110912"
"12928" "HMDB0036633" "LMPK12111250"
"12942" "HMDB0036648" "LMPR0103410006"
"13009" "HMDB0036716" "LMPR0103800003"
"13083" "HMDB0000573" "LMFA01030073"
"13088" "HMDB0001863" "LMFA01050007"
"13098" "HMDB0002536" "LMST04010049"
"13101" "HMDB0002580" "LMST05020003"
"13103" "HMDB0002585" "LMST04010043"
"13104" "HMDB0002586" "LMST05020024"
"13105" "HMDB0002601" "LMFA01050400"
"13111" "HMDB0002664" "LMFA03010135"
"13113" "HMDB0002685" "LMFA03010137"
"13114" "HMDB0002689" "LMFA03010144"
"13119" "HMDB0002710" "LMFA03010019"
"13122" "HMDB0002719" "LMST01010016"
"13125" "HMDB0002725" "LMST02010044"
"13131" "HMDB0002752" "LMFA03010035"
"13133" "HMDB0002759" "LMST05020001"
"13134" "HMDB0002776" "LMFA03010031"
"13135" "HMDB0002780" "LMPK12020001"
"13136" "HMDB0002783" "LMPK13040017"
"13138" "HMDB0002789" "LMPR01070261"
"13139" "HMDB0002802" "LMST02030090"
"13140" "HMDB0002815" "LMGP01050032"
"13144" "HMDB0002823" "LMFA01030408"
"13150" "HMDB0002869" "LMST01030097"
"13154" "HMDB0002884" "LMFA01030088"
"13155" "HMDB0002886" "LMFA03010001"
"13159" "HMDB0002902" "LMPR02020061"
"13160" "HMDB0002904" "LMFA03030003"
"13164" "HMDB0002925" "LMFA01030158"
"13170" "HMDB0002939" "LMFA12000033"
"13172" "HMDB0002961" "LMST02020042"
"13173" "HMDB0002982" "LMFA03010131"
"13174" "HMDB0002984" "LMST02020086"
"13179" "HMDB0002995" "LMFA03020004"
"13180" "HMDB0003000" "LMPR01070257"
"13184" "HMDB0003023" "LMPR01070253"
"13186" "HMDB0003034" "LMFA03010142"
"13192" "HMDB0003063" "LMPR01070295"
"13194" "HMDB0003069" "LMST02030153"
"13198" "HMDB0003073" "LMFA01030141"
"13200" "HMDB0003075" "LMPK12110097"
"13206" "HMDB0003114" "LMPR01070086"
"13215" "HMDB0003153" "LMPK12030005"
"13216" "HMDB0003154" "LMPR01070264"
"13223" "HMDB0003175" "LMFA03010030"
"13231" "HMDB0003229" "LMFA01030056"
"13232" "HMDB0003231" "LMFA01030077"
"13234" "HMDB0003235" "LMFA03010009"
"13236" "HMDB0003243" "LMFA12000020"
"13237" "HMDB0003247" "LMFA03010014"
"13239" "HMDB0003252" "LMFA03030002"
"13242" "HMDB0003259" "LMST02030204"
"13267" "HMDB0003352" "LMPR0102090001"
"13268" "HMDB0003355" "LMFA01100040"
"13276" "HMDB0003375" "LMPR0102090002"
"13280" "HMDB0003381" "LMFA01050398"
"13286" "HMDB0003407" "LMFA12000012"
"13289" "HMDB0003415" "LMPR01070030"
"13296" "HMDB0003424" "LMFA05000061"
"13304" "HMDB0003450" "LMPR0102090005"
"13320" "HMDB0003533" "LMST04030164"
"13328" "HMDB0003550" "LMST03020246"
"13354" "HMDB0003647" "LMPR0102090010"
"13355" "HMDB0003648" "LMPR01090013"
"13360" "HMDB0003671" "LMFA12000004"
"13362" "HMDB0003689" "LMFA04000011"
"13368" "HMDB0003759" "LMST02030170"
"13371" "HMDB0003769" "LMST02020058"
"13372" "HMDB0003771" "LMFA01060192"
"13374" "HMDB0003797" "LMFA01030118"
"13375" "HMDB0003818" "LMST02020005"
"13383" "HMDB0003843" "LMFA07040010"
"13388" "HMDB0003871" "LMFA02000034"
"13389" "HMDB0003873" "LMST04030151"
"13390" "HMDB0003876" "LMFA03060001"
"13393" "HMDB0003896" "LMST01010121"
"13397" "HMDB0003911" "LMFA01100054"
"13406" "HMDB0003938" "LMFA07050014"
"13408" "HMDB0003940" "LMFA07050015"
"13418" "HMDB0003955" "LMST02020067"
"13425" "HMDB0003990" "LMST01010052"
"13426" "HMDB0003993" "LMPR01070258"
"13428" "HMDB0004026" "LMST02030167"
"13429" "HMDB0004029" "LMST02030192"
"13432" "HMDB0004035" "LMST01010086"
"13433" "HMDB0004038" "LMFA04000010"
"13435" "HMDB0004043" "LMPR0102090028"
"13451" "HMDB0004080" "LMFA08040001"
"13496" "HMDB0004234" "LMFA03020024"
"13498" "HMDB0004238" "LMFA03010020"
"13500" "HMDB0004240" "LMFA03010026"
"13501" "HMDB0004241" "LMFA03010012"
"13503" "HMDB0004243" "LMFA03060013"
"13504" "HMDB0004244" "LMFA03060014"
"13508" "HMDB0004257" "LMFA07050009"
"13511" "HMDB0004264" "LMFA03080005"
"13517" "HMDB0004305" "LMPR0103010001"
"13520" "HMDB0004321" "LMPR0102090013"
"13522" "HMDB0004327" "LMFA05000109"
"13526" "HMDB0004362" "LMFA06000051"
"13532" "HMDB0004385" "LMFA03040001"
"13537" "HMDB0004472" "LMPR0102090019"
"13541" "HMDB0004586" "LMPR0102090041"
"13542" "HMDB0004590" "LMST02010050"
"13544" "HMDB0004610" "LMSP01030001"
"13545" "HMDB0004611" "LMST02020101"
"13547" "HMDB0004624" "LMST02020106"
"13556" "HMDB0004666" "LMGL01010023"
"13557" "HMDB0004667" "LMFA02000228"
"13558" "HMDB0004668" "LMFA02000016"
"13559" "HMDB0004669" "LMFA02000274"
"13560" "HMDB0004670" "LMFA02000188"
"13562" "HMDB0004679" "LMFA03060006"
"13563" "HMDB0004680" "LMFA03060069"
"13564" "HMDB0004682" "LMFA03060061"
"13565" "HMDB0004684" "LMFA03050017"
"13566" "HMDB0004685" "LMFA03010027"
"13567" "HMDB0004686" "LMFA03110002"
"13568" "HMDB0004688" "LMFA03080012"
"13570" "HMDB0004692" "LMFA03060070"
"13571" "HMDB0004693" "LMFA03080008"
"13572" "HMDB0004694" "LMFA03050018"
"13573" "HMDB0004696" "LMFA03060071"
"13574" "HMDB0004699" "LMFA03060073"
"13575" "HMDB0004701" "LMFA02000037"
"13576" "HMDB0004702" "LMFA02000038"
"13577" "HMDB0004704" "LMFA02000229"
"13578" "HMDB0004705" "LMFA02000230"
"13579" "HMDB0004706" "LMFA02000113"
"13580" "HMDB0004708" "LMFA02000014"
"13587" "HMDB0004814" "LMFA12000118"
"13700" "HMDB0004947" "LMSP02010002"
"13701" "HMDB0004948" "LMSP02010003"
"13702" "HMDB0004949" "LMSP02010004"
"13703" "HMDB0004950" "LMSP02010006"
"13704" "HMDB0004951" "LMSP02010007"
"13705" "HMDB0004952" "LMSP02010008"
"13706" "HMDB0004953" "LMSP02010009"
"13707" "HMDB0004955" "LMSP02010011"
"13708" "HMDB0004956" "LMSP02010012"
"13709" "HMDB0004957" "LMSP02010013"
"13730" "HMDB0004978" "LMSP0501AA09"
"13732" "HMDB0004980" "LMFA01030199"
"13733" "HMDB0004982" "LMFA01170078"
"13774" "HMDB0005045" "LMFA03050007"
"13775" "HMDB0005047" "LMFA01030119"
"13777" "HMDB0005049" "LMFA01120001"
"13778" "HMDB0005050" "LMFA03080007"
"13779" "HMDB0005051" "LMFA01030247"
"13784" "HMDB0005073" "LMFA03020010"
"13786" "HMDB0005077" "LMFA03110005"
"13787" "HMDB0005079" "LMFA03010021"
"13788" "HMDB0005081" "LMFA03070027"
"13789" "HMDB0005082" "LMFA03040002"
"13790" "HMDB0005083" "LMFA03110001"
"13792" "HMDB0005085" "LMFA03020011"
"13793" "HMDB0005087" "LMFA03020013"
"13794" "HMDB0005088" "LMFA03020014"
"13795" "HMDB0005089" "LMFA03020015"
"13796" "HMDB0005095" "LMFA03020020"
"13797" "HMDB0005096" "LMFA08020003"
"13799" "HMDB0005102" "LMFA03010049"
"13806" "HMDB0005356" "LMGL03010001"
"13842" "HMDB0005393" "LMGL03010002"
"13863" "HMDB0005414" "LMGL03010003"
"13880" "HMDB0005432" "LMGL03010020"
"13899" "HMDB0005453" "LMGL03010250"
"13910" "HMDB0005464" "LMGL03011156"
"13920" "HMDB0005474" "LMGL03010371"
"13923" "HMDB0005478" "LMGL03011840"
"13938" "HMDB0005779" "LMGP02030003"
"13939" "HMDB0005780" "LMGP02030001"
"13940" "HMDB0005781" "LMPK12050104"
"13941" "HMDB0005782" "LMPK12140003"
"13956" "HMDB0005805" "LMPR0102090014"
"13957" "HMDB0005806" "LMPR0102090027"
"13958" "HMDB0005808" "LMPK12050037"
"13959" "HMDB0005810" "LMPK12140002"
"13961" "HMDB0005812" "LMPR0102010010"
"13962" "HMDB0005814" "LMST02020075"
"13967" "HMDB0005830" "LMST02020095"
"13970" "HMDB0005841" "LMFA12000088"
"13971" "HMDB0005842" "LMFA12000048"
"13973" "HMDB0005844" "LMFA03110003"
"13975" "HMDB0005849" "LMST02020105"
"13985" "HMDB0005935" "LMST02020008"
"13989" "HMDB0005962" "LMST02020103"
"13990" "HMDB0005971" "LMFA01060195"
"13991" "HMDB0005972" "LMST05030014"
"13993" "HMDB0005994" "LMFA06000109"
"13994" "HMDB0005998" "LMFA03060009"
"13996" "HMDB0006002" "LMST02030201"
"13998" "HMDB0006006" "LMFA05000100"
"13999" "HMDB0006007" "LMFA05000108"
"14012" "HMDB0006036" "LMST02020107"
"14019" "HMDB0006046" "LMST02020094"
"14020" "HMDB0006048" "LMST02020017"
"14024" "HMDB0006059" "LMFA03020016"
"14032" "HMDB0006111" "LMFA03060063"
"14037" "HMDB0006119" "LMST01010047"
"14040" "HMDB0006203" "LMST05010041"
"14045" "HMDB0006216" "LMPR01090005"
"14046" "HMDB0006217" "LMPR01090009"
"14047" "HMDB0006218" "LMPR01090017"
"14048" "HMDB0006219" "LMPR01090021"
"14049" "HMDB0006220" "LMPR01090018"
"14050" "HMDB0006221" "LMPR01090011"
"14051" "HMDB0006225" "LMST03010040"
"14053" "HMDB0006227" "LMST03010051"
