ID1	ID2	issue_type
hmdb:HMDB0012654	kegg:C00550	improper_match
hmdb:HMDB0012654	pubchem:53481791	improper_match
hmdb:HMDB0012779	pubchem:12337017	improper_match
hmdb:HMDB0013031	pubchem:53481451	improper_match
hmdb:HMDB0013124	pubchem:53481699	improper_match
hmdb:HMDB0013130	pubchem:53481699	improper_match
hmdb:HMDB0013156	pubchem:53481631	improper_match
hmdb:HMDB0013156	kegg:C14519	improper_match
hmdb:HMDB0013158	pubchem:53481888	improper_match
hmdb:HMDB0013159	pubchem:53481699	improper_match
hmdb:HMDB0013221	pubchem:52923742	improper_match
hmdb:HMDB0013221	chebi:89906	improper_match
hmdb:HMDB0013238	pubchem:53481699	improper_match
hmdb:HMDB0013288	pubchem:53481699	improper_match
hmdb:HMDB0013328	pubchem:53481699	improper_match
hmdb:HMDB0013628	kegg:C13828	improper_match
hmdb:HMDB0015589	chebi:138764	improper_match
hmdb:HMDB0029250	pubchem:131750824	improper_match
hmdb:HMDB0029313	pubchem:494308	improper_match
hmdb:HMDB0029313	chemspider:432655	improper_match
hmdb:HMDB0029337	pubchem:131750854	improper_match
hmdb:HMDB0029345	pubchem:131750928	improper_match
hmdb:HMDB0029382	chebi:62426	improper_match
hmdb:HMDB0029382	chemspider:4524740	improper_match
hmdb:HMDB0029382	pubchem:5375200	improper_match
hmdb:HMDB0029408	pubchem:5363741	improper_match
hmdb:HMDB0029408	chebi:49250	improper_match
hmdb:HMDB0029408	chemspider:4516050	improper_match
hmdb:HMDB0029417	pubchem:3549960	improper_match
hmdb:HMDB0029417	chemspider:2788007	improper_match
hmdb:HMDB0029420	pubchem:151730	improper_match
hmdb:HMDB0029420	chebi:74048	improper_match
hmdb:HMDB0029420	chemspider:133730	improper_match
hmdb:HMDB0029471	pubchem:131750874	improper_match
hmdb:HMDB0029471	chemspider:30776778	improper_match
hmdb:HMDB0029595	kegg:C02445	improper_match
hmdb:HMDB0029623	pubchem:15609884	improper_match
hmdb:HMDB0029655	pubchem:78195599	improper_match
hmdb:HMDB0029713	kegg:C02740	improper_match
hmdb:HMDB0029718	kegg:C02595	improper_match
hmdb:HMDB0029767	pubchem:10462651	improper_match
hmdb:HMDB0029767	chemspider:8638063	improper_match
hmdb:HMDB0029785	pubchem:9882599	improper_match
hmdb:HMDB0029785	chemspider:8058274	improper_match
hmdb:HMDB0029845	chebi:278533	improper_match
hmdb:HMDB0029851	pubchem:131751609	improper_match
hmdb:HMDB0029909	kegg:C17058	improper_match
hmdb:HMDB0029923	chebi:10057	improper_match
hmdb:HMDB0029923	kegg:C01464	improper_match
hmdb:HMDB0029952	kegg:C06397	improper_match
hmdb:HMDB0029977	pubchem:10507050	improper_match
hmdb:HMDB0029977	chemspider:8682451	improper_match
hmdb:HMDB0030004	pubchem:10899299	improper_match
hmdb:HMDB0030011	pubchem:5317377	improper_match
hmdb:HMDB0030011	chemspider:4476250	improper_match
hmdb:HMDB0030018	kegg:C09506	improper_match
hmdb:HMDB0030035	pubchem:87947	improper_match
hmdb:HMDB0030035	chemspider:79344	improper_match
hmdb:HMDB0030043	pubchem:5374699	improper_match
hmdb:HMDB0030043	chemspider:4524423	improper_match
hmdb:HMDB0030045	pubchem:131752106	improper_match
hmdb:HMDB0030046	pubchem:15929155	improper_match
hmdb:HMDB0030047	pubchem:9874426	improper_match
hmdb:HMDB0030047	chemspider:8050115	improper_match
hmdb:HMDB0030066	pubchem:131750953	improper_match
hmdb:HMDB0030078	pubchem:5830135	improper_match
hmdb:HMDB0030078	chemspider:4715544	improper_match
hmdb:HMDB0030118	chebi:28762	improper_match
hmdb:HMDB0030118	kegg:C06353	improper_match
hmdb:HMDB0030118	chemspider:21864849	improper_match
hmdb:HMDB0030127	pubchem:12304831	improper_match
hmdb:HMDB0030144	pubchem:131752046	improper_match
hmdb:HMDB0030171	pubchem:122376203	improper_match
hmdb:HMDB0030182	pubchem:181561	improper_match
hmdb:HMDB0030182	chemspider:157937	improper_match
hmdb:HMDB0030183	pubchem:826073	improper_match
hmdb:HMDB0030201	pubchem:5318090	improper_match
hmdb:HMDB0030201	chemspider:4476718	improper_match
hmdb:HMDB0030203	pubchem:5318825	improper_match
hmdb:HMDB0030203	chemspider:4477289	improper_match
hmdb:HMDB0030217	pubchem:24898872	improper_match
hmdb:HMDB0030217	chemspider:28285416	improper_match
